review_date,rating,reviews
29 January 2015,,In my opinion this series started out brilliantly on a very interesting premise. But later I think the series started to lose its own credibility. It suffered from the same fate a lot of series have these days: they throw in everything they got at the start to actually make an impression. But that leaves them with only so much for the remaining seasons.
12 February 2014,7.0,"This is a hard show to review. The first few seasons were incredible but I feel that they dragged it out too long. As the weeks go by I found myself thinking ""really, there are 5 seasons of this"". I am truly diverse in my tastes and don't get offended very easily at all. I love gore, gritty, sci-fi, fantasy, comedy, romance, animation. You get the picture I really do not discriminate and instead judge on it's merits. But I found that Breaking Bad exhausted me. Five seasons of disgusting, corruption, ferralness, deplorable human behaviour took it's toll on my level of appreciation for this show. If it had been shorter I would have enjoyed it more. I know it was revolutionary and truly realistic but in the end I despised it for being great and the fact that I had to see it through to the end."
1 July 2015,5.0,"I really couldn't wait for this to end, I felt it just dragged on & on forever, I felt I had been watching it for 20 years by the time it finally finished."
8 December 2022,10.0,"Spoiler free review of this and i am utterly shocked by how good this show was. Season 1 started off slow so dont drop the show so quickly, this show becomes one of the greatest shows of all time and my favourite show."
6 December 2022,10.0,This show was easily a cinematic masterpiece its the best show I watched. From the cinematography to the songs used it's the best. It starts slow but if you give it a chance it speeds up and gets more action-packed. Almost every episode is good. One episode 3x10 is pretty slow but almost every episode is great and it is easily one of the best shows of all time beside better call Saul. I highly suggest watching this show and the rest of the breaking bad universe. I recommend watching the breaking bad universe in this order: 1. Breaking Bad 2. El Camino (Movie) 3. Better call Saul This order is the best for the storyline of the breaking bad universe and if you watch this show you will easily love it. Everything about the show is perfect all the actors are less well known and Aaron Paul had no prior acting experience but still played one of the important characters of the show and he even hung out with drug addicts to have real experience and to act his role perfectly.
13 October 2019,10.0,"If there is any show deserves a 10/10, it's Breaking Bad, Simply the greatest."
3 December 2022,10.0,"10/10 acting, 10/10 characters, every Episode has been amazing (Especialy Ozymandias, Felina, 4 Days Out, Pilot etc..) Vince Gilligan made one of the greatest fictional characters ever like Walter White, Gustavo Fring and Saul Goodman AND also the best ever rated TV episode Ozymandias which has an 10/10 rating on here. I trurly enjoyed watching this Series and Im kinda sad that I finished it, I just wish sometimes that I forget the whole Story so I can watch it all over again. I cant wait to watch Better Call Saul and El Camino and who knows, maybe we could get surprised with an Gus Fring Series too."
6 December 2022,10.0,"I binged breaking bad, worst mistake of my life, never binge a good show! Especially not breaking bad, binge it when rewatching, same experience. You can binge something multiple times, but you can only experience the show once. Anyways, on to the review."
13 March 2008,10.0,"I probably haven't been hooked to a TV show like I am to Breaking Bad before. This beautiful piece of art is incredibly well written and directed, furthermore the actors are doing a tremendous job! I've read a few remarks about the pace of the show, saying it is too slow. I completely disagree, there are so many aspects which get their place in the series, every single one in its own way and it would be horrible if we'd see a too fast paced show containing ridiculous cliffhangers like we see them on the major networks. Because this way you can entirely fall in love with the show, the characters and every tiny detail of the story and the best part of it, it is unbelievably addictive and makes you starve for more week after week! "
29 October 2022,10.0,"Breaking Bad is the greatest TV show of all time, and you can tell very easily because it's lowest rated episode has a score of 7.8. There are few other shows that can come close to the level of Breaking Bad, and one of them is it's own spin-off show, Better Call Saul. No other show in television history has had as long as a powerful and lasting impact on human culture, not even the longest running shows of all time, not The Simpsons, Family Guy, South Park, Law & Order, SpongeBob SquarePants."
11 October 2022,10.0,"Where do I even begin? The writing is near perfect, the actors and characters are all amazing, the over-arching story just gets only better and better. This show is just a bullet train, this just goes and refuses to stop. It pulls no punches, everything that happens has all the impact. And honestly, there isn't a single bad episode. Every episode, yes even ""Fly"", serves a purpose, and honestly, shouldn't be skipped over upon first viewing. And for a show that ended in 2013, it's still relatively popular and beloved among people. Everyone I know still loves the show and loves it to death."
14 March 2021,6.0,"The first three seasons are boring, there are so many unnecessary scenes!! Then it gets better especially in the last season. Directing and acting are phenomenal."
14 August 2015,2.0,"Was expecting good things from this as everybody kept going on about it and had some great actors in it, but was very disappointed. It took me 2 attempts to watch it all. 1st attempt I only got to season 2 ep2 and gave up because I was bored. 2nd time round I watched up to season 4 as people said that's when it got good (It didn't get any better as far as I was concerned) I only finished it because there was 1 season left to go. It may have been better if I had of watched it before sons of anarchy but I had watched sons of anarchy before breaking bad and in my opinion S.O.A takes some beating and breaking bad came nowhere close to it. It was very slow and to be honest it was kind of like the saying ""same s**t different day""."
17 May 2010,10.0,"""Breaking Bad"" is the best television show. Ever."
27 June 2017,10.0,"Drug wars, meth, the lot. I thought no thank you. I kept hearing how good it was and I kept saying: ""No thank you"" Last January I got sick, one of those illnesses you can't quite figure out. Maybe it was pre and post election depression, I don't know. But I stayed in bed for almost 10 days and then it happened. I saw the first episode and I was immediately and I mean immediately, hooked. I saw the entire series in 9 days. Voraciously. Now I had time to reflect. Why I wonder. When I think about it the first thing that comes to mind is not a thing it's Bryan Cranston. I know the concept was superb as was the writing but Bryan Cranston made it all real. His performance, the creation of Walter White will be studied in the Acting classes of the future. He is the one that pulls you forward - as well as backwards and sideways - then I realized that his creation acquired the power that it acquired, in great part thanks to the extraordinary cast of supporting players. I could write a page for each one of them but I'm just going to mention Aaron Paul. I ended up loving him. I developed a visceral need to see him find a way out. Well, what can I tell you. I know that one day, maybe when my kids are old enough, I shall see ""Breaking Bad"" again. I can't wait."
30 December 2023,10.0,"This is the rudest and best TV series I've watched. And he is rude not in terms of cruelty (although there is also enough of it here), but in terms of narration, this story itself is already terrifying, especially when after watching you review season 1 and remember how you thought that everything was already bad here..."
26 February 2009,10.0,"BREAKING BAD:Season One explodes like a sucker punch to the gut, and is nothing short of mind-blowing. The pilot for this series is a definite ""Must See"", and stands with the greats of Action/Adventure Television and Cinema. This segment begins at such a giddy peak, that you think the only way forward would be to tell the tale as a long flashback. However, through a marvelous piece of editing and writing, the plot miraculously moves forward from that point. Bryon Cranston's idiosyncratic performance is a joy to behold. He embodies a man who is against a rock, and an even harder place, who has no other option but to throttle his higher aspirations and grimly carry on. His solace and validation in middle-class morality and virtuous conduct is long gone. I eagerly look forward to more of this ambitious, entertaining series."
11 March 2009,10.0,"I have to echo another reviewer on here and say that as of the past many years I have not watched television, save PBS, Discovery, or History channel. And the news, of course. There has been nothing except The Sopranos and Family Guy in the realm of series that warranted my attention. Almost everything out there is stupid drivel that insults the intelligence of educated human beings. "
7 December 2020,10.0,Review of Season One:
9 August 2021,10.0,"Everything from the subtle details, to the unmatched writing and the perfect cast, to the very beautifully shot scenes. It may very well be the best Tv-show out there. The story, even with some creative liberties, is well grounded, believable and feels very real. The show, unlike others, ages like fine wine. The more you watch and the longer you sink in the better it gets. I can think of few series which grow stronger and better every season. It's not only worth sinking your teeth into, it's worth eating. Breaking Bad is a timeless piece and it will stand even long into the future, and will forever be one of the best Tv-shows to ever come out."
21 January 2008,9.0,"The age of Bryan Cranston has returned. Once universally lauded for his work in Malcolm In The Middle, there had yet to be a good vehicle for this man's particular talents. He has that rare gift of generating sympathy and manic-energy at the same time."
6 March 2020,6.0,Part of the reason I watched BrBa was the famous and mysterious ending of the movie. So I gave it a try.
21 February 2021,5.0,"It was a good show , not the worst I've seen obviously, but it was kinda boring to watch. Any ""plot twist"" they tried was pretty obvious, and I really couldn't engage with the characters or care for them as I thought I would before watching it . You already know what's going to happen in the beginning of every season , and to be fair , it's not worth the hype . Walt and Jesse's relationship is just the weirdest thing I've ever seen... and Skyler is just awful . It's a good show , watch it if you have the time and want , but there are others that are way more addicting and better written."
21 February 2020,10.0,"The best series I have seen in my whole life, even better than the wire."
12 December 2021,10.0,"5 seasons recovered in one week. I didn't think I was going to get caught up in a series of drug dealers, but it did. Because it is tough, has a lot of black humor and above all, it makes you think about the miserable world of sociopaths and psychopaths, no matter how flamboyant it may seem at one point. A real revelation for me was the actor Aaron Paul as Jesse Pinkman character, a very good actor from the young generation. I'm looking forward to seeing him in follow-up film, El Camino: A Breaking Bad Movie."
17 January 2024,10.0,Watching Walter white evolve from a normal high school teacher to a murdering psychopath is brilliant everything is designed and made so perfect down to the last minute details simply the best. I have watched this show 3 times now and it's just as good every time. And after watching better call Saul it's even better everything is just falling into place perfect as everything unfolds is the end. Walter white has the best conclusion and is the best character of all time no one even comes close. Breaking bad should not be compared to anything don't even mention sopranos or the wire breaking bad is the best show of all time.
8 February 2015,10.0,"It's hard for me to be super objective about this show. Over the course of 62 episodes, right from the start, for me, Vince Gilligan and his team of writers and directors crafted a piece of neo-noir-western American tragedy that almost never, if ever, lost its footing. In its story of the rise and fall of Walter White (or his fun alias Heisenberg) and how he becomes a Meth ""Emperor"" in Albuquerque during his run of lung cancer, we get all kinds of dramaturgy here. There's conflict, conflict, conflict going on in this show, always, from the familial (what do I tell my wife, Skylar, or not tell her, what doesn't she tell me, how far do the lies and deceit and horrors go?) to the more genre-leaning (how much criminals go in their crazy s***, which is established early on with the throw of the particular chemical and the ""This... is not Meth"" explosion) to the dark comedy that gives the Coens a run for their money (Better Call Saul!) - not to mention how it made Aaron Paul just as much as star as Bryan Cranston, both working actors along with Anna Gunn, Dean Norris, Betsy Brandt and Bob Odenkirk. It all... fits."
31 October 2008,10.0,"Absolutely one of the most ground breaking bad ass shows on the screen, (pardon the pun). Definitely not for everyone but finally something that feels real."
19 September 2023,10.0,"Often hailed as one of the greatest TV ever made, Breaking Bad lives up to the hype. You will be hard pressed to watch a show that is as well shot, directed, acted, and written. Being a finite series, the story told feels complete, compelling, and doesn't drag out into unnecessary and disappointing filler episodes. Every minute of this series is masterfully crafted and designed to encapsulate the viewer into a once in a lifetime experience. Instantly becoming a classic must-watch show, I cannot name anything that I would have wanted different. If you haven't yet seen it, you've been missing out and I hope you take the time to experience such a perfect show."
4 June 2021,10.0,"This is perhaps the single greatest series ever made. Problem is, everything else pales into insignificance before it; nothing will ever compare to it. It has singlehandedly ruined my past, present and future series experiences."
20 September 2020,10.0,"Just finished watching for the second time and i cant believe how brilliant and perfect this series is
Its really hard to express the brilliance there has never been anything better then breaking bad hands down to the GOAT"
12 January 2019,6.0,"Walter White (Walt) has a high IQ but couldn't always succeed in life, but an opportunity occurs just when Walt gets terrible news. The opportunity comes with risks and terrible scarifies that Walt normally wouldn't take, but the need for money forces him to take it."
19 May 2014,5.0,"People are STILL talking about Breaking Bad, long after the series finale, and I just wanted to write a bad review partly out of spite, but mostly out of confusion. I'm confused by the seemingly universal love for this show... "
16 April 2021,10.0,I eagerly want to want to watch again but after some years so that i can forgot the scenes and dialogues and i want to experience this epic show once again as i did before. Honestly speaking NOTHING WILL COMPARE WITH THIS SHOW. AND THE FIRST TIME EXPERIENCE IS GOD LEVEL EXPERIENCE.
4 November 2023,10.0,"I can't describe how this show made me feel. I went through all the emotions while watching it, and when I finished it, the only thing I could feel was emptiness. I just wanted to erase it from my memory so I could watch it as if it was the first time."
18 August 2019,10.0,PERFECT
26 January 2008,9.0,"As the clueless, hapless and hopeless father of four on the celebrated series MALCOLM IN THE MIDDLE, Bryan Cranston came into his own, as he did an amazing balancing act that juggled slapstick, pathos and insanity all at once, proving that not only did ""father NOT know best"", but more than likely never would."
23 May 2019,10.0,I am not one to beat around the bush so here it goes:
11 August 2021,10.0,"Everything at every moment could have been decided better if truth had been told! Am watching a few seasons to remember! I proped up in bed and got over surgery with this series and LOVED MIKE!!! Wanted to strangle Marie!!! Good acting when you feel like strangling them! Don't smoke. Tell the truth. THINK before you act. Love, Granny."
30 March 2020,10.0,I like the bit where they make crystal meth in the back of an RV
17 September 2018,9.0,"Season 1 : 8.8/10
Season 2 : 8.8/10
Season 3 : 9.5/10
Season 4 : 9.8/10
Season 5 : 10/10"
23 April 2020,7.0,"Ok, so while it isn't quite the holy grail it's made out to be, 'Breaking Bad' is a solid series. I give it a concrete 7. It is well worth watching. It absolutely IS a good series. Just allow for a steady stream of implausible moments throughout the series where various story points just aren't remotely believable.
Enjoy the good (there is plenty), and look over the ludicrous (there is plenty). Enjoy the show."
21 February 2021,5.0,"I had high expectations for this series because everyone says it's a masterpiece. It took me 2 months to finish the first season, too boring !! The second and third seasons are a little better but they are still very boring. The fourth and fifth seasons are the best but there are still some episodes that are very boring. And most of the episodes don't even end on a cliffhanger so I wasn't even interested in seeing the episode later..."
18 August 2022,10.0,"After huge recommendation and buzz about the series, I started watching on 2016 August, couldn't able to stop it. I have finished two seasons in a flight travel. The best show on the internet completely eligible to do binge watch. You will be travelling along their journey of Walter White or Jesse Pinkman. The show biggest success was how it ended, you can't a find better way to put through. I really wish would have got chance to watch in their release times.,"
8 January 2024,10.0,"In addition to all the episodes being perfect, the acting and depth of the story is incredible, such as the development of Walter White or Jesse Pinkman, even secondary characters are great. In addition to the ending being perfect with Heisenberg having a more than deserved ending and Jesse running away after having suffered so much. Several things transform Breaking Bad into a unique series, such as color psychology, the development of characters like Jesse Pinkman... Simply Breaking Bad."
26 April 2021,10.0,Thank you for existing. This series is just perfect in every aspect.
15 August 2021,10.0,"Time is so fast! But it's only five seasons in six years, and then it's over, like saying goodbye to the person you care about the most."
14 July 2020,10.0,"Well, I don't know what I can add to the dialog here, watching the show as I have some seven years after it ended. This is quite simply one of the best shows ever to hit the cable TV scene. I see it's currently rated #4 on IMDb's list of top rated television programs, and though one could argue that point, there's no denying it was a well written and incredibly involved program with a myriad of characters and situations spanning five seasons. I happened to binge watch it over the last couple of weeks, and to my thinking, I don't know how I would have had the patience to catch it during it's regular run waiting for each chapter to unfold. Thinking back on the series now, I don't know if I'd consider any of the characters as likable, though all of them are portrayed by an amazing cast of capable actors and actresses. RJ Mitte in particular, as Walter White Jr., is particularly impressive as a young man with cerebral palsy, a condition which he has in real life on a much milder scale. As the show's central character, Bryan Cranston arcs his personality from a mild mannered high school chemistry teacher into one of TV's most amoral and vicious characters ever. Without trying to dissect every single principal player, I can only recommend you sample the series for yourself. And what the final episode of the series does, which I thought I'd never see again in a movie, is memorialize the character of Lydia Rodart-Quayle (Laura Fraser), with the song 'Lydia, Oh Lydia', a tune I first encountered in the Marx Brothers movie ""At The Circus"", and once again in 1991's ""The Fisher King"" with Jeff Bridges and Robin Williams! However the one that best personifies the series for reasons you'll understand if you watch it, is the song by Tommy James and the Shondells titled 'Crystal Blue Persuasion'."
2 March 2021,10.0,Best show you will ever watch. It will exceed your expectations.
2 June 2020,9.0,This first season are very slow but intersting at every season there will be thrillng at the end it will say''Die with memories'' not ''with dreams''
9 December 2020,10.0,"I have no words to describe how amazing and amazing this series is. It's really good, it doesn't have a boring chapter and the drama is amazing. Great performances, well-done scripts, amazing direction and well-done characters. The writer of this series is a genius!!"
27 March 2018,7.0,The plot line is great... the acting is good... it has all the makings for a great show but for me it was just so dark and depressing I can't call it a favorite.
8 March 2021,5.0,I never seen this much of overrated show in much life. Even after completion of entire first season. 3 episodes in season 4 it does not bring any curiousity.
22 August 2022,10.0,"Breaking Bad is one of the ahem.. the best tv series to exist in its genre. It is absolutely flawless, amazing character development, flawless acting."
25 January 2024,8.0,"Breaking Bad is well-written. The dialogue is excellent, and not dull nor predictable. There is the perfect balance of comedy and seriousness, which I believe is necessary in all shows. Walt's character is well-developed, and convincing. He had a huge ego, and with cancer at his doorstep, naturally wants to go out with a bang. To him, being a provider is apparently what makes a man a man. His ego suffers, because they barely pay high schools teachers a decent salary apparently. I think Bryan is a phenomenal actor, and irreplaceable. He captures the introvert side of Walter very well, as an introvert. They did very well in choosing the most annoying personality an introvert would want to live with: Skyler White. His wife talks over him, doesn't listen to his wants and needs even his choices as to how to deal with the cancer, loves him but is extremely controlling and unbearable, etc...It is obvious that Walt isn't really happy with Skyler, though he does love her. It makes sense that he's unhappy and fantasizes a life that he might have had if he had stayed with his science partners and gotten credit for his breakthrough. Hank is your typical ""act masculine"" cop, but with layers. He's got a soft spot. He also is the perfect contrasting character to Walt, with his overconfidence, predictability and transparency. I don't think there is a need to talk about Jesse. Aaron Paul played him to perfection. He's so lovable that it is unthinkable that he could have been killed off in season 1."
2 February 2023,10.0,"""Breaking Bad"" has 5 seasons and a total of 62 episodes. It stars Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris and RJ Mitte. The series has gained a lot of popularity over the years, and let's face it, it really is a masterpiece to be praised."
31 July 2023,10.0,"Despite me not caring much about modern television at all, there are very few shows that have the lasting effect that Breaking Bad has had on me. I first watched it around early 2017 and was never the same afterwards. Compelling characters, an interesting and elaborate story spanning over 60 hour long episodes, great musical selections, cinematography and countless other things. I wouldn't say I'm one of those obsessed fans that will watch the show multiple times, but I felt the need to revisit this series 6 years later since I have a much better understanding of tv shows and film than I did then. It's not hard to be enamored with this show and I'd be lying if I said I looked at each one of its episodes analytically back then. All I cared about at the time was how amazing it was. I'll try my best to explain the show's premise, but unlike most other things I discuss, I can't delve far into the plot. Each episode is quite confusing and they all build on each other, so the only way to comprehend the story entirely is to simply watch the show."
27 May 2019,10.0,"Many years ago, a friend of mine told me to watch this new series called Breaking Bad. The way he raved about it I thought I'd give it a go just to shut him up. I really couldn't get in to it and, after the pilot episode, gave up and didn't watch it any more.
Fast forward to 2019.
Looking through Netflix I came across this series once again so thought I'd give it another go.
Now, I don't know if I've changed in these past years or I just didn't give it long enough first time round but, Wow! Over the last three weeks I have binge watched the entire series, averaging four episodes a day (unfortunately I have to work as well). What can I say about this series that hasn't already been said by other reviewers who are more grammatically articulate than I am. It easy to see why Breaking Bad won as many awards as it did. The writing is superb, not to mention the acting from its two main stars, Bryan Cranston and Aaron Paul as Walt and Jesse. By the end of the last episode I felt my heart was broken. Like a break up in a relationship I would now have to get by without these two in my life. It's been an emotional rollercoaster of a ride but I enjoyed every minute of it. From Jesse's awkward moment having dinner with Walt and Sky, to Walt's maniacal laughter whilst under the floorboards of his house.
So to my friend I owe an apology. I should have listened to you and watched this great show a long time ago."
16 November 2017,10.0,(Flash Review)
14 November 2017,10.0,"Everybody has their own opinion of how many stars a show deserves, whether more stars or fewer it's seldom so many people agree. ""Breaking Bad"" is possibly the best TV drama ever made - there isn't a wrong step, bad episode or miscast character throughout the whole series run. "
3 February 2023,10.0,I wish I'd never seen it so I could see it for the first time again.
19 January 2015,7.0,I watched the first three seasons of Breaking Bad.
12 January 2014,4.0,I decided to watch this after hearing how good it was - I hadn't watched any of it by the time the last episode had aired.
30 October 2017,10.0,After many friends recommending me the show i had finally started watching it.. I could not get out of it.. i did not come out of my room for 3 days and completed 5 seasons eventually.. i could not cope with the end of the show and i could not find anything that can top this show.It intensifies season by season.. IT'S ALL ABOUT REACTIONS.. Acting 5/5 Plot 6/5 Score 4/5 Overall feel 22/10 There are no words to describe how great this show is so stop reading this review and start watching it..
11 November 2022,10.0,"Breaking Bad is a perfect series. This is a fact. In the past, there were movies and series. They lived in a very different universe from each other. Nowadays there are cinematographic television series. In the 70s, 80s and 90s, series such as Full House, Seinfield and Family Ties with the formula of Sitcom and Miami Vice, 21 Jump Street and Starsky and Hutch with the formula of detective fiction appeared. In 1992, Twin Peaks appeared, a series with episodes of almost an hour long, with a cinematic style, including having been created by a film director, David Lynch. Other series emerged with a cinematic style, such as The Wire, Oz, Mad Men and The Sopranos. Breaking Bad is the most cinematic of them all. Walter White is the most complex and best-developed character in the history of world television. There are dozens and dozens of memorable and memorable scenes in Breaking Bad. The series holds up great over five seasons, which is no easy feat. It's also impressive how the series managed to build a sensational episode in which more than 30 minutes of episode take place inside a laboratory. The episode ""The Fly"", serves to develop the relationship between Walt and Jessie. The figure of Walt\Heisenberg is a very emblematic figure. He is the personification of the anti-hero. The series remains one of the best series of all time or perhaps the best."
15 April 2010,10.0,"To say this program has great writing is an understatement. BB has the best writing I have ever had the pleasure of listing & reading (I always leave the captioning on). The acting is top notch by Cranston. It is also very good by Aaron Paul (Pinkman), Dean Norris (Hank), Betsy Brandt (Marie), RJ Mitte (Walt junior). Unfortunately, it feels like Anna Gunn (Skyler) is the weak link. It is hard to know if the Gilligan is trying to make a somewhat awkward and unlikable character, or if it is just not hitting the mark. I prefer to think that the writing is intentionally odd for Skyler for some reason, and that we will get to learn more in the episodes and seasons to come. The dialogue is absolutely brilliant for the most part – it almost always rings true. The episodes are gripping (for the most part). The story is brutal and comedic at the same time. I have to opt for a 10/10 because there is not another program that comes close – even Dexter which I've been enjoying for 5 seasons doesn't have the writing or acting to stand up to BB."
5 December 2016,10.0,"Some years after writing for ""The X Files"", Vince Gilligan created a show. I only saw scattered episodes of ""Breaking Bad"" during its run, but I finally got around to binge-watching the first season. Bryan Cranston puts on one of the most chilling performances in TV history as a terminally ill teacher who turns to manufacturing crystallized methamphetamine to support his family. Basically, the show is about moral ambiguity and how actions have consequences. Indeed, each episode adds a new complication."
24 October 2021,10.0,"I finished watching Breaking Bad 8 years ago and was blown away by how brilliant it was. Original story, great character building, comedy, drama... edge of your seat moments...this show has it all."
10 February 2022,10.0,THIS SHOW IS IN MY TOP 5 OF THE BEST SERIES I'VE EVER WATCHED IN MY WHOLE LIFE!
10 January 2024,9.0,"Wow. I've got to say this is the best series I've seen for a long time, if ever. I couldn't stop so we watched it over a few days."
4 November 2023,10.0,"This is the one and only TV-series that if I would have the power to spare it and other TV-series would be forgotten to the humanity, I would spare. Sorry Better Call Saul. It is an absolute must-watch and maybe even part of my life. How the main character, Walter Hartwell White sr., changes from the loved and innocent dad, to one of the baddest drug dealers the country of New Mexico saw, is breath-taking. It really got the atmosphere and the feelings in me. When Hank found out (on the toilet, that was interesting), and how his whole life and his whole history with Waltuh flashed before his very own eyes, who Walter is reality is, the man he was looking for desperately for a time now, for the man he swore he will find even if it would cost him his life, the man he swore to put behind bars no matter who he is. Breaking Bad was really a roller coaster of emotions. There was a lot of times I was scared to continue because I was afraid what could happen. If I was asked to pin point a one scene from the whole series that I liked the most, it would be probably the scene 'The Train Heist'. ATM, I am in process of watching BCS, and I got in queue to watch El Camino. BCS is about Jimmy McGill or Saul Goodman (the name exclusively used in BB) and El Camino is about what happened to Jesse after he flew from Albequerque in the last moments of the last part of the series. If there is anyone who haven't watched it, they are missing on a world-famous, my and millions of others favorite, best series in the world. My parents haven't watched it. I wonder what their reactions would be. So many easter eggs, so many emotions, so many great moments. A must-watch."
14 February 2021,6.0,"I honestly don't understand all the hype for this show. Probably in 2008 it was a revolutionary series but now in 2021 in my opinion it's not as good as everyone says. In my opinion, the first three seasons are very boring, the fourth is a bit better because it has a lot of epic moments and the fifth season is the one I liked the most and to be honest it's the only one that really interested me. However the characters and their evolutions are incredible and photography and direction are also excellent."
8 November 2014,2.0,"So disappointed with Breaking Bad, after so many people telling me it was brilliant, the ending being amazing. Well I couldn't disagree more, bored all the way through, apart from the odd 30 seconds at the end of a couple of episodes, then the next episode would start, and back to being boring."
20 August 2022,10.0,"Breaking Bad is the greatest TV show ever made, and will remain that way for many many years to come."
22 August 2022,10.0,This show will sit in the upper echelons of TV shows for generations to come. Like the Sopranos it helped shape TV and helped set the benchmark for the competition. It will certainly take a special show to de-throne this. Utterly re-watchable even if you chose to do so once or more a year.
6 January 2024,10.0,"Being able to finish the entire show in a week and a half is a testament to how tightly written, engaging and easily binge-able it is. Some of the most fascinating character studies you'll ever see. You can't help but get invested in the different characters' journeys and the overarching story. The storytelling is impeccable and the dialogue between characters is dynamic and engaging. At times, very intense and other times funny. The acting is some of the best you'll ever see. There's a reason why so many of the actors either won or were nominated for awards. The cinematography is poetic. An iconic and unforgettable show. Breaking Bad is without a doubt one of the best, if not, the best show of all time. An unstoppable, immovable force of cinema that demands to be watched, and maybe even re watched. If you've never watched Breaking Bad, do yourself a favor. Climb out from under the rock you've been living under and give this show a watch. Believe me, you won't regret it."
22 May 2019,10.0,"Breaking Bad is my favorite and great series ...
I advise you to see this ...
Adrenaline is needed for you ... :D"
